episode,score,total_reward,epsilon,avg_loss
816,0,12.5,0.01,0.232577
817,1,28.6,0.01,0.209957
818,1,28.6,0.01,0.187728
819,0,12.5,0.01,0.153211
820,0,7.7,0.01,0.266257
821,0,12.5,0.01,0.239369
822,1,28.6,0.01,0.186954
823,0,12.5,0.01,0.143034
824,0,12.5,0.01,0.242154
825,0,12.5,0.01,0.173372
826,0,2.5,0.01,0.159516
827,0,12.5,0.01,0.20998
828,0,2.5,0.01,0.140199
829,0,2.5,0.01,0.176271
830,0,2.5,0.01,0.185359
831,0,2.5,0.01,0.128401
832,0,11.3,0.01,0.246641
833,0,12.5,0.01,0.203225
834,0,12.5,0.01,0.222372
835,0,13.3,0.01,0.252981
836,1,28.6,0.01,0.248743
837,0,12.5,0.01,0.299354
838,1,26.1,0.01,0.246046
839,0,12.5,0.01,0.231147
840,0,12.5,0.01,0.312567
841,0,12.5,0.01,0.196641
842,0,12.5,0.01,0.274004
843,1,28.6,0.01,0.249661
844,1,28.6,0.01,0.211517
845,0,12.5,0.01,0.262176
846,0,12.5,0.01,0.178326
847,1,28.6,0.01,0.225364
848,0,12.5,0.01,0.192615
849,0,12.5,0.01,0.214257
850,1,28.6,0.01,0.259695
851,0,13.5,0.01,0.199128
852,0,12.5,0.01,0.188411
853,0,13.5,0.01,0.178389
854,0,12.5,0.01,0.234347
855,1,15.9,0.01,0.261454
856,0,9.4,0.01,0.191814
857,0,12.8,0.01,0.21582
858,0,12.5,0.01,0.243742
859,0,2.5,0.01,0.229148
860,0,13.8,0.01,0.221199
861,0,12.6,0.01,0.321689
862,0,12.5,0.01,0.176498
863,0,12.5,0.01,0.216249
864,0,12.5,0.01,0.261688
865,0,12.9,0.01,0.196983
866,0,12.5,0.01,0.243869
867,0,12.6,0.01,0.191799
868,0,14.3,0.01,0.214819
869,1,28.6,0.01,0.186188
870,0,12.5,0.01,0.249704
871,0,2.5,0.01,0.275693
872,0,12.5,0.01,0.301462
873,0,12.5,0.01,0.266905
874,0,8.7,0.01,0.240438
875,0,10.8,0.01,0.289063
876,0,9.2,0.01,0.295394
877,0,12.5,0.01,0.185931
878,1,23.9,0.01,0.276089
879,0,2.5,0.01,0.3004
880,0,2.5,0.01,0.295349
881,0,12.5,0.01,0.336189
882,0,2.5,0.01,0.328466
883,0,2.5,0.01,0.377796
884,0,12.5,0.01,0.323953
885,0,12.5,0.01,0.212475
886,0,12.5,0.01,0.307
887,0,12.5,0.01,0.22282
888,0,12.5,0.01,0.303696
889,0,12.5,0.01,0.362179
890,0,9.0,0.01,0.316438
891,0,12.9,0.01,0.3032
892,0,12.5,0.01,0.382765
893,0,13.0,0.01,0.294977
894,0,12.5,0.01,0.338452
895,0,12.5,0.01,0.352141
896,0,12.5,0.01,0.328279
897,0,12.5,0.01,0.346709
898,0,12.5,0.01,0.350528
899,1,18.0,0.01,0.327154
900,0,12.5,0.01,0.312055
901,0,12.5,0.01,0.246539
902,0,10.4,0.01,0.253486
903,0,7.8,0.01,0.36195
904,0,6.7,0.01,0.325696
905,0,2.5,0.01,0.267933
906,0,2.5,0.01,0.350407
907,0,2.5,0.01,0.187184
908,0,2.5,0.01,0.506605
909,0,12.5,0.01,0.428722
910,0,12.5,0.01,0.349926
911,0,2.5,0.01,0.335557
912,0,2.5,0.01,0.331876
913,0,2.5,0.01,0.318595
914,0,2.5,0.01,0.350693
915,0,12.5,0.01,0.341003
916,0,12.5,0.01,0.450667
917,0,12.5,0.01,0.492421
918,0,12.5,0.01,0.415947
919,1,17.5,0.01,0.404025
920,0,12.5,0.01,0.387884
921,1,15.9,0.01,0.334958
922,1,14.7,0.01,0.382421
923,0,12.8,0.01,0.351108
924,1,15.8,0.01,0.333098
925,0,14.1,0.01,0.384499
926,2,33.3,0.01,0.398227
927,0,12.5,0.01,0.352204
928,0,3.6,0.01,0.391322
929,0,12.5,0.01,0.439462
930,0,12.5,0.01,0.460085
931,3,60.6,0.01,0.343322
932,0,12.5,0.01,0.365887
933,0,12.5,0.01,0.341595
934,0,12.5,0.01,0.304532
935,0,12.5,0.01,0.33381
936,1,28.6,0.01,0.31493
937,2,44.6,0.01,0.296682
938,0,12.5,0.01,0.287362
939,0,2.5,0.01,0.312415
940,0,6.8,0.01,0.318517
941,0,12.5,0.01,0.348139
942,0,2.5,0.01,0.199784
943,0,2.5,0.01,0.419341
944,0,13.8,0.01,0.282537
945,0,14.4,0.01,0.298957
946,1,28.6,0.01,0.310212
947,0,12.5,0.01,0.291323
948,0,14.6,0.01,0.326633
949,1,29.6,0.01,0.326225
950,0,12.5,0.01,0.361692
951,0,13.9,0.01,0.343518
952,1,28.6,0.01,0.314761
953,0,12.5,0.01,0.289215
954,0,12.5,0.01,0.33637
955,0,12.5,0.01,0.307952
956,0,12.5,0.01,0.337755
957,0,12.5,0.01,0.338399
958,0,12.5,0.01,0.247626
959,1,15.8,0.01,0.356478
960,1,28.6,0.01,0.284718
961,0,12.5,0.01,0.339886
962,0,14.5,0.01,0.366115
963,0,12.5,0.01,0.332916
964,0,12.5,0.01,0.283567
965,0,12.5,0.01,0.285251
966,0,12.5,0.01,0.336949
967,0,12.5,0.01,0.344987
968,1,15.9,0.01,0.291832
969,1,15.9,0.01,0.344798
970,0,12.5,0.01,0.308955
971,0,7.5,0.01,0.207103
972,0,12.5,0.01,0.306195
973,0,12.5,0.01,0.35914
974,0,12.5,0.01,0.19795
975,2,44.6,0.01,0.357868
976,0,2.5,0.01,0.374656
977,0,2.5,0.01,0.274738
978,0,2.5,0.01,0.509035
979,0,6.5,0.01,0.433116
980,0,8.6,0.01,0.334445
981,0,12.5,0.01,0.286222
982,0,2.5,0.01,0.313733
983,0,2.5,0.01,0.477475
984,0,2.5,0.01,0.256279
985,0,7.5,0.01,0.359861
986,0,2.5,0.01,0.429256
987,1,21.4,0.01,0.325334
988,0,7.2,0.01,0.344425
989,1,22.3,0.01,0.393916
990,0,7.5,0.01,0.389773
991,0,2.5,0.01,0.46168
992,1,28.6,0.01,0.364383
993,0,2.5,0.01,0.28016
994,0,12.5,0.01,0.354429
995,0,12.5,0.01,0.348108
996,0,12.5,0.01,0.389522
997,0,8.0,0.01,0.412732
998,0,12.5,0.01,0.402626
999,1,28.6,0.01,0.440348
1000,0,6.9,0.01,0.31206
