episode,score,total_reward,epsilon,avg_loss
186,0,13.2,0.01,0.030096
187,1,17.3,0.01,0.023374
188,0,12.5,0.01,0.024371
189,1,15.8,0.01,0.024899
190,0,13.1,0.01,0.039064
191,0,14.1,0.01,0.016021
192,0,12.5,0.01,0.010561
193,1,19.4,0.01,0.030846
194,0,12.5,0.01,0.014835
195,0,12.5,0.01,0.030588
196,0,13.9,0.01,0.025471
197,1,15.7,0.01,0.011856
198,1,30.0,0.01,0.036832
199,0,12.5,0.01,0.040666
200,0,12.5,0.01,0.031286
201,0,12.5,0.01,0.026821
202,2,45.0,0.01,0.038671
203,1,30.2,0.01,0.053621
204,0,9.9,0.01,0.051318
205,0,11.7,0.01,0.03259
206,3,61.8,0.01,0.052594
207,3,61.7,0.01,0.071559
208,8,140.6,0.01,0.0729
209,4,76.6,0.01,0.100453
210,2,45.9,0.01,0.119602
211,0,12.5,0.01,0.125427
212,0,12.5,0.01,0.128786
213,0,13.4,0.01,0.14216
214,4,78.2,0.01,0.160147
215,0,12.5,0.01,0.186425
216,11,188.9,0.01,0.186035
217,24,397.2,0.01,0.153006
218,8,140.6,0.01,0.100705
219,2,31.8,0.01,0.090883
220,3,60.6,0.01,0.107212
221,1,28.6,0.01,0.124127
222,3,62.2,0.01,0.129999
223,2,45.1,0.01,0.152565
224,1,25.1,0.01,0.170872
225,0,12.5,0.01,0.086177
226,0,12.5,0.01,0.082056
227,1,28.6,0.01,0.069644
228,0,12.5,0.01,0.093814
229,0,12.5,0.01,0.138862
230,0,12.5,0.01,0.164005
231,0,4.6,0.01,0.128422
232,0,12.9,0.01,0.129093
233,0,12.5,0.01,0.143133
234,0,12.5,0.01,0.17297
235,0,13.9,0.01,0.229609
236,0,13.5,0.01,0.18665
237,5,92.6,0.01,0.246343
238,2,31.9,0.01,0.200234
239,1,28.6,0.01,0.185414
240,0,14.1,0.01,0.363906
241,0,12.5,0.01,0.380108
242,0,12.5,0.01,0.226696
243,1,29.7,0.01,0.216
244,0,12.5,0.01,0.376726
245,0,2.8,0.01,0.52621
246,1,28.6,0.01,0.358489
247,0,12.5,0.01,0.349121
248,2,46.5,0.01,0.324106
249,3,60.6,0.01,0.362129
250,4,76.6,0.01,0.332566
251,3,47.9,0.01,0.337895
252,0,12.5,0.01,0.447594
253,1,28.6,0.01,0.321713
254,2,44.6,0.01,0.294815
255,0,12.5,0.01,0.312166
256,1,28.6,0.01,0.266154
257,0,12.5,0.01,0.401571
258,0,5.7,0.01,0.452306
259,0,12.5,0.01,0.382863
260,0,12.5,0.01,0.301537
261,2,44.6,0.01,0.380658
262,0,12.5,0.01,0.322783
263,1,28.6,0.01,0.406915
264,0,12.5,0.01,0.362731
265,0,12.5,0.01,0.413918
266,0,12.5,0.01,0.398549
267,2,46.7,0.01,0.349161
268,2,44.6,0.01,0.389479
269,0,12.5,0.01,0.387966
270,7,126.2,0.01,0.300459
271,0,2.5,0.01,0.420861
272,0,12.5,0.01,0.329292
273,2,44.6,0.01,0.34255
274,3,60.6,0.01,0.327714
275,1,29.0,0.01,0.269109
276,0,12.7,0.01,0.325493
277,0,13.6,0.01,0.185032
278,0,12.5,0.01,0.272007
279,1,28.6,0.01,0.257342
280,4,76.6,0.01,0.296774
281,0,14.5,0.01,0.194592
282,0,12.5,0.01,0.307251
283,0,12.5,0.01,0.238764
284,0,12.5,0.01,0.325207
285,0,12.5,0.01,0.34276
286,0,12.5,0.01,0.37282
287,0,12.5,0.01,0.335399
288,0,13.7,0.01,0.342462
289,0,13.0,0.01,0.451824
290,0,12.5,0.01,0.311715
291,0,12.5,0.01,0.360143
292,0,3.4,0.01,0.170965
293,0,6.3,0.01,0.424746
294,0,12.5,0.01,0.394182
295,0,12.5,0.01,0.336417
296,0,12.5,0.01,0.328126
297,0,12.5,0.01,0.392295
298,1,28.6,0.01,0.46302
299,1,28.6,0.01,0.452637
300,1,28.7,0.01,0.373712
301,0,2.5,0.01,0.656912
302,0,12.5,0.01,0.343642
303,3,60.6,0.01,0.437555
304,3,60.6,0.01,0.467134
305,2,44.6,0.01,0.3978
306,0,12.5,0.01,0.388165
307,9,156.6,0.01,0.386962
308,2,44.6,0.01,0.399834
309,0,12.5,0.01,0.468802
310,3,60.6,0.01,0.357452
311,3,60.6,0.01,0.327516
312,0,2.5,0.01,0.228721
313,1,28.6,0.01,0.305856
314,1,28.6,0.01,0.336846
315,2,44.6,0.01,0.330848
316,4,76.6,0.01,0.311497
317,0,2.5,0.01,0.353231
318,1,28.6,0.01,0.259806
319,1,28.6,0.01,0.299425
320,2,44.7,0.01,0.311116
321,10,159.8,0.01,0.242881
322,1,28.6,0.01,0.263824
323,7,117.1,0.01,0.212796
324,13,220.6,0.01,0.198595
325,2,44.6,0.01,0.170329
326,2,45.3,0.01,0.213095
327,2,44.6,0.01,0.130306
328,2,44.7,0.01,0.22328
329,0,2.5,0.01,0.233343
330,1,14.7,0.01,0.151055
331,0,12.5,0.01,0.187715
332,0,12.5,0.01,0.212766
333,0,14.6,0.01,0.204734
334,0,2.5,0.01,0.130827
335,1,29.0,0.01,0.271383
336,1,29.3,0.01,0.271308
337,2,30.8,0.01,0.206878
338,0,2.5,0.01,0.284159
339,0,2.5,0.01,0.137881
340,0,2.5,0.01,0.166209
341,0,2.5,0.01,0.42721
342,7,125.9,0.01,0.261344
343,3,60.6,0.01,0.257895
344,0,12.5,0.01,0.202318
345,0,12.8,0.01,0.296173
346,1,28.6,0.01,0.302152
347,0,12.5,0.01,0.229238
348,0,12.5,0.01,0.320674
349,0,12.5,0.01,0.341431
350,2,44.6,0.01,0.362061
